emp_no,first_name,last_name,birth_date,title,from_date,to_date
25488,Ingmar,Basawa,1/19/1965,Staff,11/9/1991,1/1/9999
26476,Bilhanan,Karcich,1/19/1965,Staff,4/9/1996,2/4/1997
26503,Shietung,Billingsley,1/27/1965,Senior Staff,11/7/1998,12/2/1998
26617,Berto,Bruckman,1/6/1965,Engineer,11/23/1991,3/27/1994
26629,Nevin,Rodham,1/28/1965,Senior Staff,12/14/1998,1/1/9999
26671,Jiakeng,Kalorkoti,1/21/1965,Senior Engineer,12/25/1994,1/1/9999
26788,Zongyan,Dalphin,1/25/1965,Senior Engineer,4/23/1988,1/1/9999
27150,Chenyi,Plump,1/6/1965,Staff,6/23/1992,5/22/1995
27331,Wanqing,Krohm,1/19/1965,Staff,1/22/1991,1/1/9999
27378,Piyawadee,Leppanen,1/28/1965,Senior Staff,2/25/1999,1/1/9999
27620,Shuji,Kandlur,1/25/1965,Engineer,3/2/1990,1/1/9999
27686,Manu,Rosiles,1/28/1965,Senior Staff,3/3/1998,1/1/9999
27699,Falguni,Pezzoli,1/15/1965,Engineer,12/23/1996,1/1/9999
27767,Tooru,Veldwijk,1/27/1965,Senior Staff,11/21/1993,1/1/9999
27970,KayLiang,Miyakawa,1/12/1965,Technique Leader,11/22/1995,2/7/2000
28193,Xinglin,Mitsuhashi,1/29/1965,Senior Engineer,12/14/1988,1/1/9999
28222,Mayuko,Vitiello,1/11/1965,Technique Leader,12/22/1993,10/16/1995
28974,Chenxi,Sundgren,1/9/1965,Senior Engineer,9/2/1986,1/1/9999
28988,Tua,Giveon,1/18/1965,Technique Leader,9/9/1998,1/1/9999
29130,Xumin,Thorensen,1/6/1965,Staff,4/26/1998,1/1/9999
29265,Gilbert,Calkin,1/14/1965,Senior Staff,3/21/1988,1/1/9999
29380,Satoru,Vidal,1/30/1965,Assistant Engineer,5/2/1998,1/1/9999
29418,Valery,Mersereau,1/22/1965,Assistant Engineer,7/1/1998,1/1/9999
29679,Kolar,Steenbeek,1/17/1965,Senior Engineer,10/18/1986,1/1/9999
29782,Jouko,Hellwagner,1/29/1965,Senior Engineer,10/23/2000,1/1/9999
29954,Pranay,Giarratana,1/27/1965,Senior Engineer,9/29/1992,1/1/9999
30007,Kousuke,Vecchio,1/24/1965,Senior Engineer,2/23/1990,1/1/9999
30035,Tetsushi,Conta,1/8/1965,Senior Staff,7/4/1995,1/1/9999
30154,Mayuko,Skafidas,1/26/1965,Technique Leader,4/19/1999,1/1/9999
30182,Leon,Potthoff,1/26/1965,Senior Engineer,12/8/1985,1/1/9999
30465,Randi,Avouris,1/28/1965,Senior Engineer,7/16/1986,1/1/9999
30484,Sailaja,Chvatal,1/11/1965,Staff,5/18/1999,1/1/9999
30552,Yishai,Terlouw,1/18/1965,Senior Engineer,9/19/1986,1/7/1999
30695,Gudjon,Majewski,1/8/1965,Senior Engineer,10/26/1999,1/1/9999
30938,Yakkov,Samarati,1/6/1965,Staff,5/23/1995,10/10/1997
31147,Divine,Sidhu,1/4/1965,Senior Staff,7/5/1989,1/1/9999
31170,Tuval,Waleschkowski,1/8/1965,Senior Staff,10/16/1987,12/14/1988
31188,Leandro,Gist,1/12/1965,Technique Leader,2/3/1993,1/1/9999
31207,Abdelwaheb,Dulin,1/30/1965,Senior Engineer,8/5/1993,1/1/9999
31341,Oksana,Zultner,1/1/1965,Staff,3/23/1991,1/1/9999
31514,Harngdar,Schapire,1/13/1965,Senior Engineer,11/9/1996,1/1/9999
31568,Mark,Lalonde,1/10/1965,Staff,11/24/1996,1/1/9999
31599,Qingxiang,Gewali,1/5/1965,Engineer,9/22/1997,12/1/1998
31629,Toong,Veldwijk,1/24/1965,Engineer,7/28/1986,4/26/1996
31909,Murthy,Peek,1/10/1965,Engineer,10/30/2000,1/1/9999
32347,Terresa,Peres,1/8/1965,Senior Staff,9/15/1990,1/1/9999
32552,Atreye,Stanger,1/17/1965,Engineer,9/10/1993,1/1/9999
32622,Piyush,Paciorek,1/23/1965,Staff,4/7/1991,7/18/1991
32649,Ingmar,Nannarelli,1/12/1965,Senior Staff,6/10/1988,1/1/9999
32714,Radoslaw,Maliniak,1/16/1965,Staff,11/17/1997,9/18/2001
32844,Tadahiko,Melton,1/23/1965,Engineer,1/7/1995,1/1/9999
33025,Jessie,Thorelli,1/12/1965,Senior Staff,12/16/1999,1/1/9999
33215,Steen,Fasbender,1/29/1965,Technique Leader,2/14/1993,1/1/9999
33293,Adamantios,Vanwelkenhuysen,2/1/1965,Assistant Engineer,1/11/1994,8/18/2000
33606,Clyde,Swift,1/2/1965,Staff,11/14/1994,12/29/1996
33722,Anwar,Collette,1/15/1965,Senior Engineer,3/22/1994,2/3/2001
34077,Angel,Sichman,1/8/1965,Staff,11/16/1988,1/1/9999
34261,Kyoichi,Callaway,1/5/1965,Senior Staff,12/30/1990,1/1/9999
34446,Chinhyun,Bauknecht,1/31/1965,Senior Engineer,12/19/1986,1/1/9999
34452,Naftaly,Foong,1/8/1965,Senior Engineer,5/10/1991,1/1/9999
34505,Felicidad,Kumaresan,1/28/1965,Senior Staff,9/6/1994,1/1/9999
34533,Erzsebet,Shigei,1/10/1965,Senior Engineer,1/21/1991,1/16/1995
34780,Moni,Kohling,1/16/1965,Staff,9/18/2001,1/1/9999
34788,Ennio,Babu,1/27/1965,Senior Engineer,8/31/1994,1/1/9999
34936,Bokyung,Stamatiou,1/12/1965,Technique Leader,2/12/1991,1/1/9999
35044,Jiang,Waschkowski,1/4/1965,Senior Engineer,5/27/1989,1/1/9999
35087,Leif,Ashish,1/17/1965,Staff,10/14/1994,1/1/9999
35441,Chandrasekaran,Peek,1/31/1965,Senior Engineer,2/7/1988,9/17/1990
35642,Ashish,Talmon,1/30/1965,Engineer,2/28/1999,1/1/9999
35793,Oscar,Kusalik,1/1/1965,Staff,5/11/1991,1/1/9999
35798,Ulf,Oberman,1/29/1965,Senior Engineer,3/15/1997,1/1/9999
36521,Serif,Gladwell,1/21/1965,Staff,3/6/1987,1/1/9999
36626,Fen,Genin,1/2/1965,Senior Staff,5/9/1986,1/1/9999
36733,Uma,Reinhard,1/4/1965,Staff,11/1/1997,1/1/9999
36844,Hailing,Levergood,1/1/1965,Staff,1/12/2000,1/1/9999
36982,Kotesh,Rajala,1/22/1965,Engineer,6/23/1992,1/1/9999
37070,Jeong,Undy,1/22/1965,Senior Staff,2/13/1985,1/1/9999
37592,Berni,Stranks,2/1/1965,Engineer,11/5/1985,9/19/1992
37719,Nakhoon,Buescher,1/31/1965,Engineer,6/12/1988,1/17/1999
37945,Suzette,Butterworth,1/2/1965,Senior Engineer,2/19/1994,1/1/9999
38017,Ulf,Himler,1/24/1965,Staff,8/5/1995,11/28/1997
38043,Michaela,Randi,1/5/1965,Senior Engineer,11/23/1985,1/1/9999
38103,Masasuke,Babu,1/12/1965,Engineer,3/31/1988,1/1/9999
38168,Fumiko,Deverell,1/14/1965,Staff,8/15/1987,1/1/9999
38550,JoAnne,Baez,1/14/1965,Senior Engineer,2/16/1987,1/1/9999
38593,Huei,Orsini,1/14/1965,Senior Engineer,6/4/1986,1/1/9999
38947,Shuichi,Ruemmler,1/25/1965,Senior Staff,3/8/1991,4/8/1998
39000,Martijn,Vendrig,1/8/1965,Staff,3/3/1997,1/1/9999
39036,Changho,Cappelli,1/8/1965,Staff,5/4/1996,1/1/9999
39268,Constantijn,Awdeh,1/10/1965,Engineer,10/20/1987,6/10/1990
39301,Rimon,Kawashima,1/7/1965,Senior Staff,2/6/1992,1/1/9999
39341,Mahmut,Lampe,1/1/1965,Engineer,5/11/1985,1/1/9999
39952,Otmar,Sudbeck,1/2/1965,Staff,7/22/1998,1/1/9999
40269,Toshiki,Ghazalie,1/10/1965,Staff,12/5/1991,1/1/9999
40283,Sudhanshu,Boissier,1/7/1965,Senior Engineer,5/11/1985,1/1/9999
40301,Spyrose,Felder,1/20/1965,Senior Engineer,6/16/1996,10/20/1997
40536,Harngdar,Bernardinello,1/20/1965,Senior Engineer,2/29/1988,1/1/9999
40648,Wayne,Erev,1/23/1965,Staff,9/19/1990,2/2/1993
40765,Michaela,Ramsak,1/1/1965,Staff,12/21/1992,1/1/9999
40773,Shimshon,Aingworth,1/9/1965,Senior Staff,4/13/1986,1/1/9999
40785,Youpyo,Castellani,1/31/1965,Engineer,9/4/1998,10/14/1999
40983,Marla,Cherinka,1/17/1965,Technique Leader,12/1/1986,1/1/9999
41114,Petter,Thummel,1/25/1965,Technique Leader,12/24/1995,1/1/9999
41137,Bikash,Buchter,1/20/1965,Staff,11/23/1987,1/8/1996
41357,Willard,Vernadat,1/6/1965,Engineer,3/4/1997,1/1/9999
41518,Keung,Schapiro,1/11/1965,Senior Engineer,2/8/2001,1/1/9999
41520,Xiong,Uhrik,1/20/1965,Senior Engineer,3/21/1988,1/1/9999
41552,Uno,Heyers,1/3/1965,Engineer,9/28/1990,11/29/2001
41609,Yucai,Simmen,1/4/1965,Senior Staff,10/13/1987,1/1/9999
42778,Shuji,Remmers,1/19/1965,Staff,12/18/1987,1/1/9999
42911,Brigham,Eterovic,1/29/1965,Engineer,10/8/1994,1/1/9999
42950,Shaleah,Eickenmeyer,1/22/1965,Senior Staff,10/9/1993,1/1/9999
42955,Yucel,Lortz,1/12/1965,Engineer,2/21/1995,1/1/9999
43154,Maha,Waterhouse,1/13/1965,Senior Staff,7/4/1997,1/1/9999
43358,Ottavia,Mitsuhashi,1/7/1965,Staff,8/18/1989,7/13/1996
43733,Huei,Boguraev,1/26/1965,Senior Staff,12/31/1993,1/1/9999
43848,Phillip,Oxenboll,1/11/1965,Engineer,5/26/1999,1/1/9999
44054,Alenka,Ritcey,1/18/1965,Engineer,2/9/1997,1/1/9999
44265,Maria,Eppinger,1/24/1965,Engineer,1/30/1997,1/1/9999
44540,Mingzeng,Sadowski,1/16/1965,Senior Engineer,11/12/1989,1/1/9999
44900,Mark,Schwaller,1/5/1965,Senior Staff,8/10/1994,1/1/9999
44959,Volkmar,Uhrik,1/21/1965,Senior Engineer,1/16/1988,1/1/9999
44962,Sariel,Wynblatt,1/16/1965,Assistant Engineer,5/18/1996,1/1/9999
45162,Dulce,Speel,1/11/1965,Senior Engineer,10/19/1987,1/1/9999
45590,Masoud,Genin,1/21/1965,Technique Leader,2/16/1991,6/1/1994
46000,Zhaofang,Penn,1/26/1965,Staff,7/24/1997,1/1/9999
46015,Weiye,Masand,1/19/1965,Staff,7/24/1995,1/29/2002
46222,Mrinalini,Strooper,1/20/1965,Staff,3/5/1990,9/4/1992
46328,Wuxu,Trogemann,1/5/1965,Senior Staff,1/27/1997,1/1/9999
46531,Yaghout,Peng,1/30/1965,Assistant Engineer,10/2/1995,10/7/1997
46811,Junsik,Berendt,1/10/1965,Senior Engineer,4/27/1988,1/1/9999
46834,Tooru,Daescu,1/22/1965,Senior Staff,3/20/1998,1/1/9999
46943,Pasqua,Maraist,1/31/1965,Senior Engineer,12/6/1993,1/1/9999
47016,Toong,Litecky,1/3/1965,Staff,3/1/1989,1/1/9999
47139,Marco,Usdin,1/25/1965,Engineer,10/29/1996,1/1/9999
47262,Gonzalo,Binkley,1/10/1965,Senior Engineer,8/16/1985,1/1/9999
47515,Naraig,Jenevein,1/26/1965,Senior Engineer,1/18/1987,1/1/9999
47702,Juyoung,Vieri,1/21/1965,Staff,8/12/1991,1/1/9999
47708,Edwin,Haldar,1/5/1965,Senior Staff,7/12/1995,1/1/9999
48275,Sariel,Massonet,1/29/1965,Staff,11/20/1987,1/1/9999
48690,Hitomi,Schaap,1/12/1965,Staff,9/27/1999,1/1/9999
48882,Leen,Lamparter,1/28/1965,Senior Engineer,6/7/1993,1/1/9999
48904,Yuichiro,Malabarba,1/23/1965,Senior Staff,3/7/1994,1/1/9999
48947,Filipp,Akaboshi,1/5/1965,Senior Staff,5/20/1992,1/1/9999
49010,Kazuhisa,Benantar,1/16/1965,Senior Staff,10/23/1989,3/30/1990
49017,Filipp,Flanders,1/7/1965,Engineer,11/26/1990,1/1/9999
49119,Lena,Peek,1/9/1965,Senior Engineer,5/16/1991,1/1/9999
49177,Tze,Bach,1/3/1965,Engineer,3/9/1999,1/1/9999
49464,Siddarth,Cappelletti,1/14/1965,Staff,9/10/1999,1/1/9999
49477,Baocai,Leaver,1/14/1965,Senior Staff,8/5/1998,1/1/9999
50293,Xinan,Rindone,1/26/1965,Engineer,10/8/1996,1/1/9999
50311,Mooi,Stafford,1/24/1965,Senior Engineer,10/6/1996,1/1/9999
50360,Sumali,Kushner,1/18/1965,Engineer,10/30/1999,10/29/2001
50453,Aron,Harbusch,1/12/1965,Staff,10/2/1997,1/1/9999
50587,Slavian,Yemenis,1/26/1965,Technique Leader,8/6/1993,11/18/1994
50670,Boguslaw,Snedden,1/30/1965,Staff,2/20/1985,1/1/9999
50831,Marie,Khalid,1/6/1965,Senior Engineer,6/11/1996,1/1/9999
51036,Chriss,Fasbender,1/29/1965,Staff,5/23/1995,1/1/9999
51057,Theirry,Albarhamtoshy,1/29/1965,Staff,9/27/1991,1/1/9999
51060,Youngkon,Rohrbach,1/15/1965,Senior Engineer,10/20/1989,1/1/9999
51118,Fumiko,Mundy,1/17/1965,Staff,9/22/1998,8/20/2001
51142,Rosine,Lakshmanan,1/29/1965,Senior Engineer,1/31/1986,1/1/9999
51502,Slavian,Munawer,1/29/1965,Senior Staff,8/6/1999,9/4/2001
51868,Remmert,Munke,1/19/1965,Assistant Engineer,9/22/1991,5/19/1998
52038,Chikako,Armand,1/13/1965,Senior Engineer,5/18/1985,1/1/9999
52040,Phule,Heijenga,1/14/1965,Staff,2/22/1992,12/8/1996
52283,Trygve,Krupka,1/20/1965,Staff,3/11/1994,1/1/9999
52386,Adas,Denti,1/28/1965,Senior Staff,5/30/1986,1/1/9999
52590,Jouni,Munoz,1/21/1965,Staff,10/7/1996,1/1/9999
52599,Augustine,Mungall,1/25/1965,Engineer,8/31/1987,1/13/1994
52639,Arup,Colorni,1/9/1965,Senior Staff,2/5/1996,1/1/9999
52770,Shugo,Yurek,1/31/1965,Staff,8/28/1992,1/1/9999
52778,Alain,Penn,1/15/1965,Technique Leader,5/3/1986,1/1/9999
52956,Khalil,Picci,1/31/1965,Senior Engineer,3/21/1987,11/24/1998
52970,Lobel,Werthner,1/22/1965,Senior Engineer,3/17/1988,1/1/9999
53088,Mechthild,Lamma,1/25/1965,Senior Engineer,5/19/1986,6/3/1993
53278,Premsyl,Lortz,1/31/1965,Senior Staff,2/1/1993,1/1/9999
53314,Eberhardt,Carrera,1/6/1965,Staff,2/23/1999,1/1/9999
53431,Sham,Vasanthakumar,1/12/1965,Senior Staff,10/24/1985,5/24/1993
53499,Zdislav,Mandelberg,1/20/1965,Senior Engineer,9/11/1994,1/1/9999
53597,Jiafu,Marchegay,1/30/1965,Senior Engineer,3/2/1985,1/1/9999
53746,Manu,Erva,1/21/1965,Staff,3/17/1989,4/29/1993
53874,Bodo,Schade,1/23/1965,Staff,2/14/1986,1/1/9999
53891,Olivera,Pargaonkar,1/23/1965,Staff,3/13/1989,3/29/1992
53924,Arnould,Gaughan,1/27/1965,Senior Engineer,1/23/1991,1/1/9999
54198,Shaowen,Segond,1/1/1965,Senior Engineer,1/6/1986,1/1/9999
54632,Etsuo,Serot,1/19/1965,Staff,6/14/1989,1/1/9999
54795,Sumant,Nergos,1/29/1965,Staff,3/2/1994,1/1/9999
54800,Breannda,Cangellaris,1/13/1965,Staff,1/27/2000,1/1/9999
55121,Toshiko,Alblas,1/12/1965,Engineer,7/20/1995,7/23/1996
55640,Adit,Syrotiuk,1/25/1965,Senior Engineer,7/16/1993,1/1/9999
55670,Ulf,Ranft,1/30/1965,Senior Staff,3/25/1990,2/26/1996
55687,Shih,Lindqvist,1/2/1965,Senior Engineer,3/29/1995,1/1/9999
55799,Jianwen,Litzler,1/23/1965,Senior Engineer,6/17/1987,1/1/9999
55857,Adin,Scallan,1/18/1965,Senior Staff,9/15/1987,1/1/9999
56105,Makato,Remmers,1/11/1965,Engineer,4/16/1989,1/1/9999
56209,Remzi,Douceur,1/19/1965,Engineer,12/1/1992,1/1/9999
56415,Sigeru,Nivat,1/30/1965,Staff,10/24/1991,1/1/9999
56428,Olivera,Hanabata,1/27/1965,Senior Staff,11/10/1986,1/1/9999
56682,Roded,Picco,1/28/1965,Assistant Engineer,11/6/1993,1/1/9999
56829,Nagui,Gruenwald,1/9/1965,Engineer,6/14/1997,1/1/9999
56847,Menkae,Chinin,1/14/1965,Senior Engineer,8/19/1989,8/27/1998
57934,Sanjoy,Boudaillier,1/25/1965,Engineer,12/27/1989,1/1/9999
57982,Paloma,Benzaken,1/29/1965,Senior Staff,10/17/1989,9/11/1998
58141,Bezalel,Karner,1/5/1965,Staff,9/27/1994,1/1/9999
58147,Shigenori,Sullins,1/9/1965,Senior Staff,2/24/1988,1/1/9999
58217,Kiyotoshi,Kusalik,1/30/1965,Engineer,11/19/1998,6/26/1999
58384,Mariusz,Vural,1/22/1965,Engineer,11/14/1993,1/1/9999
58454,Ziya,Zambonelli,1/25/1965,Engineer,6/29/1999,1/1/9999
58497,Yechiam,Cairo,1/22/1965,Senior Staff,7/12/1996,10/21/2000
58601,Sungwon,Asser,1/6/1965,Staff,1/27/2000,4/1/2000
58819,Gennady,Liesche,1/4/1965,Senior Staff,12/2/1987,1/1/9999
58990,Palash,Trelles,1/4/1965,Engineer,11/18/1998,1/1/9999
59195,Ronnie,Pollock,1/8/1965,Technique Leader,6/19/1990,1/1/9999
59329,Zissis,Bazzichi,1/15/1965,Staff,2/7/1987,1/25/1991
59640,Zita,Hiltgen,1/18/1965,Staff,1/26/1999,1/1/9999
59661,Saeko,Baik,1/9/1965,Staff,10/11/1997,8/15/1999
59869,Zsolt,Riefers,2/1/1965,Senior Staff,9/25/1987,1/1/9999
59966,Steen,Salvesen,1/28/1965,Technique Leader,2/3/1993,1/1/9999
60000,Heekeun,Emmart,1/16/1965,Engineer,9/23/1995,1/1/9999
60091,Surveyors,Bade,2/1/1965,Staff,4/11/1990,1/1/9999
60238,Erzsebet,Claffy,1/23/1965,Staff,3/3/1997,2/19/1999
60559,Jeanna,Stemann,1/19/1965,Engineer,8/29/1988,1/1/9999
60821,Moty,Mersereau,1/2/1965,Senior Staff,9/3/1991,1/1/9999
60845,Bedir,Siegrist,1/14/1965,Engineer,5/13/1997,1/1/9999
60875,Rildo,Masaki,1/21/1965,Senior Engineer,1/14/1990,1/1/9999
60959,Tetsushi,Sridhar,1/9/1965,Senior Staff,1/12/1989,10/19/1989
61147,Leszek,Werthner,1/30/1965,Staff,3/3/1999,1/1/9999
61253,Cheong,Uhrik,1/9/1965,Engineer,5/9/2002,1/1/9999
61377,Dannz,Ohori,1/1/1965,Staff,4/13/1997,1/1/9999
61541,Kasidit,Papsdorf,1/8/1965,Senior Engineer,8/17/1993,1/1/9999
61680,Hauke,Templeman,1/24/1965,Staff,10/23/1991,2/21/1999
61873,Woody,Rusmann,1/19/1965,Assistant Engineer,2/26/1993,1/1/9999
61983,Sastry,Reeken,1/18/1965,Staff,7/24/1990,5/17/1992
62033,Heeju,Cappelli,1/24/1965,Engineer,1/15/1987,1/1/9999
62046,Karlis,Nanard,1/31/1965,Senior Engineer,9/19/1992,1/1/9999
62167,Mihalis,Haldar,1/25/1965,Senior Engineer,5/11/1998,2/3/2001
62245,Adel,Bressoud,1/1/1965,Engineer,8/30/1995,1/1/9999
62384,Akeel,Litzler,1/2/1965,Senior Staff,10/23/1999,12/21/2001
63294,Tetsushi,Tanemo,1/23/1965,Engineer,3/1/1997,1/1/9999
63419,Hiroyasu,Seuren,1/14/1965,Senior Engineer,3/5/1989,1/1/9999
63441,Hinrich,Scallan,1/15/1965,Staff,4/4/1999,1/1/9999
63444,Padma,Peres,1/19/1965,Staff,2/20/1985,12/22/1994
63566,Heekeun,Slaats,1/31/1965,Senior Staff,1/12/1999,1/1/9999
63631,Falguni,Cherinka,1/22/1965,Senior Engineer,10/15/1987,1/1/9999
63706,Sedat,Itzigehl,1/26/1965,Engineer,7/31/1997,1/1/9999
64023,Laurentiu,Benzmuller,1/11/1965,Senior Engineer,11/8/1999,1/1/9999
64209,Golgen,Schoegge,1/24/1965,Senior Staff,2/26/1988,1/1/9999
64431,Faiza,Zongker,1/25/1965,Technique Leader,12/10/1995,12/3/2001
64487,Tsutomu,Rebaine,1/27/1965,Senior Engineer,9/17/1986,1/1/9999
64532,Atilio,Segond,1/23/1965,Engineer,11/29/1990,1/1/9999
64632,Zsolt,Brender,1/7/1965,Senior Staff,2/21/1996,1/1/9999
64790,Shin,Piveteau,1/29/1965,Senior Engineer,4/19/1985,1/1/9999
64828,Krister,Pappas,1/27/1965,Staff,9/30/1999,1/1/9999
64984,Eldridge,Eldridge,1/6/1965,Senior Engineer,6/24/1986,8/4/1994
65013,Chandrasekaran,Peral,1/3/1965,Senior Engineer,2/28/1985,12/14/2001
65171,Jeane,Tasistro,1/25/1965,Technique Leader,7/6/1994,1/1/9999
65539,Aksel,Picaronny,1/23/1965,Senior Engineer,1/27/1991,1/1/9999
65883,Patricia,Pepe,1/7/1965,Staff,4/19/1991,1/1/9999
65998,Mandell,Alameldin,1/9/1965,Staff,4/8/1989,1/1/9999
66382,Domenico,Candan,1/4/1965,Engineer,7/13/1997,1/1/9999
